a1,f1,megno1,final_e1,final_theta1
1.995000000000000107e+00,5.235987755982988157e-01,1.000000000000000000e+01,1.932495711332696819e+00,5.670072259217351984e+01
1.995000000000000107e+00,5.449701541941477378e-01,1.000000000000000000e+01,1.120885601284465682e+00,1.374642398400910110e+02
1.995000000000000107e+00,5.663415327899966600e-01,1.000000000000000000e+01,8.547886654366582126e-01,3.258509357572626897e+01
1.995000000000000107e+00,5.877129113858455822e-01,1.000000000000000000e+01,8.981621523207919955e-01,1.248405643903684137e+01
1.995000000000000107e+00,6.090842899816946154e-01,1.000000000000000000e+01,9.212520447388972133e-01,2.030787398596736182e+02
1.995000000000000107e+00,6.304556685775435376e-01,1.000000000000000000e+01,3.993173753412833982e+00,6.725040337446199601e+01
1.995000000000000107e+00,6.518270471733924598e-01,1.000000000000000000e+01,3.295259178508221254e+00,1.326574781197330140e+02
1.995000000000000107e+00,6.731984257692413820e-01,1.000000000000000000e+01,9.989951118763480409e-01,7.274401551615767403e+01
1.995000000000000107e+00,6.945698043650903042e-01,1.000000000000000000e+01,1.189453095932729854e+00,1.254387170890061896e+02
1.995000000000000107e+00,7.159411829609392264e-01,1.000000000000000000e+01,1.261902121401456967e+00,1.891047058669112744e+02
1.995000000000000107e+00,7.373125615567881486e-01,1.000000000000000000e+01,3.373771698424917531e+02,1.905019044078346440e+02
1.995000000000000107e+00,7.586839401526370708e-01,1.000000000000000000e+01,9.500774394464460704e-01,1.682075387263620030e+02
1.995000000000000107e+00,7.800553187484859929e-01,1.000000000000000000e+01,1.028112309186523410e+00,2.327075729500392143e+01
1.995000000000000107e+00,8.014266973443349151e-01,1.000000000000000000e+01,9.739736309760781419e-01,5.021640570088091238e+01
1.995000000000000107e+00,8.227980759401839483e-01,4.230836206732445426e+00,4.119864449870143386e-02,1.134379682343096079e+02
1.995000000000000107e+00,8.441694545360328705e-01,8.364039781554032160e+00,4.415539685965417377e-02,1.095399967093847522e+02
1.995000000000000107e+00,8.655408331318817927e-01,1.035110480469760219e+01,2.930641144700935063e-02,7.558299336270725632e+01
1.995000000000000107e+00,8.869122117277307149e-01,7.362637459970676979e+00,1.539598256704088723e-02,5.175610485822423357e+01
1.995000000000000107e+00,9.082835903235796371e-01,1.331002451988522672e+01,3.994289579450958222e-02,2.946527116708479355e+01
1.995000000000000107e+00,9.296549689194286703e-01,5.879574883311712519e+00,6.991036362658391116e-03,5.653309350662486565e+01
1.995000000000000107e+00,9.510263475152775925e-01,1.000000000000000000e+01,1.058089133365624379e+00,1.228839655863971636e+01
1.995000000000000107e+00,9.723977261111265147e-01,4.126876702802068309e+00,4.263872371543805245e-02,3.717634389487923130e+01
1.995000000000000107e+00,9.937691047069754369e-01,7.922064544377512618e+00,3.480602854339215346e-02,2.681118047655314029e+01
1.995000000000000107e+00,1.015140483302824359e+00,4.155142444573129090e+00,3.811182749849397616e-02,8.042806480321749518e+01
1.995000000000000107e+00,1.036511861898673281e+00,2.401631843366612618e+00,3.009855014939157719e-02,1.044509982655191038e+02
1.995000000000000107e+00,1.057883240494522203e+00,4.024566753128449470e+00,2.901121840826786664e-03,6.497215453193035728e+01
1.995000000000000107e+00,1.079254619090371126e+00,2.110999339990312418e+00,6.263207252458649621e-02,9.854701057889241156e+01
1.995000000000000107e+00,1.100625997686220048e+00,6.940625494173243482e+00,4.789986522226877264e-02,3.057373396241527175e+01
1.995000000000000107e+00,1.121997376282068970e+00,2.096790391656457420e+00,3.627043484415613112e-02,2.989500846075846141e+01
1.995000000000000107e+00,1.143368754877918114e+00,1.000000000000000000e+01,8.016016209008867133e-01,1.640730808327304828e+02
1.995000000000000107e+00,1.164740133473766814e+00,2.831753266905743249e+00,2.277668393236572525e-02,8.009259093047332101e+01
1.995000000000000107e+00,1.186111512069615959e+00,3.814439985509679332e+00,1.105274939933154586e-02,1.027891261757290806e+02
1.995000000000000107e+00,1.207482890665464659e+00,1.581753210854732217e+01,4.201455596024825621e-03,4.385673528927751619e+01
1.995000000000000107e+00,1.228854269261313803e+00,3.657621809476789387e+00,3.918295079110283713e-02,3.054931497185679490e+01
1.995000000000000107e+00,1.250225647857162503e+00,1.296116105450419553e+01,6.129938698011288406e-02,8.843138175056417083e+01
1.995000000000000107e+00,1.271597026453011647e+00,1.007065548286158396e+01,6.020340140227090631e-01,1.670858429023262488e+02
1.995000000000000107e+00,1.292968405048860348e+00,1.490182513496072936e+01,5.468930304793940406e-02,9.801279419034756302e+01
1.995000000000000107e+00,1.314339783644709492e+00,7.998074521072652487e+00,3.967552916491288301e-02,1.043083348950707858e+02
1.995000000000000107e+00,1.335711162240558414e+00,1.000000000000000000e+01,3.882032720551455540e+00,1.385394760586655707e+02
1.995000000000000107e+00,1.357082540836407336e+00,1.000000000000000000e+01,9.522819675052948130e-01,8.486743405321057310e+01
1.995000000000000107e+00,1.378453919432256258e+00,3.380548010953728699e+00,2.793283640524258510e-02,9.281882727693012214e+01
1.995000000000000107e+00,1.399825298028105180e+00,5.449697419786266650e+00,1.371909688934328832e-02,1.086348918369460534e+02
1.995000000000000107e+00,1.421196676623954103e+00,7.370533910150874668e+00,2.305345873484887856e-02,5.546171547034429494e+01
1.995000000000000107e+00,1.442568055219803025e+00,1.061914132728404248e+01,1.514280284956292209e-02,6.962082219767260938e+01
1.995000000000000107e+00,1.463939433815652169e+00,7.910479423168355062e+00,3.156360386446323274e-02,3.745487135252770372e+01
1.995000000000000107e+00,1.485310812411500869e+00,7.628508998582004708e+00,3.611658419910179080e-02,6.608314237968239979e+01
1.995000000000000107e+00,1.506682191007350013e+00,1.000000000000000000e+01,8.258306278713773985e-01,2.687643841556849367e+01
1.995000000000000107e+00,1.528053569603198714e+00,3.239893285607419404e+00,4.241158906111294757e-02,8.496739939854791146e+01
1.995000000000000107e+00,1.549424948199047858e+00,1.000000000000000000e+01,1.063850722086892908e+01,8.847230062041103338e+01
1.995000000000000107e+00,1.570796326794896558e+00,1.000000000000000000e+01,3.868427873151708354e+03,3.960133085696811861e+01
1.999285714285714333e+00,5.235987755982988157e-01,1.000000000000000000e+01,5.228419083432975789e+00,1.863964226764736054e+02
1.999285714285714333e+00,5.449701541941477378e-01,1.000000000000000000e+01,2.393268345306994060e+00,8.333750418531815285e+01
1.999285714285714333e+00,5.663415327899966600e-01,1.000000000000000000e+01,3.034444616356560598e+00,1.025806593311069577e+02
1.999285714285714333e+00,5.877129113858455822e-01,1.000000000000000000e+01,3.551987428991021378e+00,1.338503289817951440e+02
1.999285714285714333e+00,6.090842899816946154e-01,1.000000000000000000e+01,5.448489955381075944e+00,1.753448707531546802e+01
1.999285714285714333e+00,6.304556685775435376e-01,1.000000000000000000e+01,1.004143696602038061e+00,2.632324654842762612e+01
1.999285714285714333e+00,6.518270471733924598e-01,1.000000000000000000e+01,6.120734832840377670e+00,1.332492549463748048e+02
1.999285714285714333e+00,6.731984257692413820e-01,1.000000000000000000e+01,2.086799133818027840e+00,3.376405363335617693e+01
1.999285714285714333e+00,6.945698043650903042e-01,1.000000000000000000e+01,2.437932876525336212e+02,3.330602886501289817e+01
1.999285714285714333e+00,7.159411829609392264e-01,1.000000000000000000e+01,1.582104259557109494e+01,2.003594328644318239e+02
1.999285714285714333e+00,7.373125615567881486e-01,1.000000000000000000e+01,1.816038763088432262e+00,7.040879263216379513e+01
1.999285714285714333e+00,7.586839401526370708e-01,1.000000000000000000e+01,9.992561614041788332e-01,1.070149900667424845e+02
1.999285714285714333e+00,7.800553187484859929e-01,2.632413252522669111e+01,2.812452310025041480e-01,8.065391923996854473e+01
1.999285714285714333e+00,8.014266973443349151e-01,6.711734262422409003e+00,4.052207019045465236e-02,1.133295240455380366e+02
1.999285714285714333e+00,8.227980759401839483e-01,1.000000000000000000e+01,1.368155951847620067e+00,2.189702803805756730e+02
1.999285714285714333e+00,8.441694545360328705e-01,2.365030137305663249e+00,2.929815477121385306e-02,8.741232338598565832e+01
1.999285714285714333e+00,8.655408331318817927e-01,2.530452040676634873e+00,3.028543705903796388e-02,1.099983420317991687e+02
1.999285714285714333e+00,8.869122117277307149e-01,8.624883184430759187e+00,6.021192851006534896e-02,7.887618818907957063e+01
1.999285714285714333e+00,9.082835903235796371e-01,1.780057099285200195e+01,5.621186695991531312e-02,1.085733946725801928e+02
1.999285714285714333e+00,9.296549689194286703e-01,3.493959913609594015e+00,2.514739539609912866e-02,4.349219423676264284e+01
1.999285714285714333e+00,9.510263475152775925e-01,8.267510279862394285e+00,1.136422008224822859e-02,3.119443703347269903e+01
1.999285714285714333e+00,9.723977261111265147e-01,3.129154892955376521e+00,5.055528906160221270e-02,3.767292343515303799e+01
1.999285714285714333e+00,9.937691047069754369e-01,5.950997580156681011e+00,6.653494855390335201e-03,4.185096338311214481e+01
1.999285714285714333e+00,1.015140483302824359e+00,1.041236518984065462e+01,7.710902767419531081e-03,8.831504169112854186e+01
1.999285714285714333e+00,1.036511861898673281e+00,1.625987395692567006e+01,2.569653719598896102e-01,1.276083422357797730e+02
1.999285714285714333e+00,1.057883240494522203e+00,1.977397280960988102e+00,4.883938554095581044e-03,7.946690740777103201e+01
1.999285714285714333e+00,1.079254619090371126e+00,1.886001937105517001e+00,8.740910753183575577e-03,4.238875746497559760e+01
1.999285714285714333e+00,1.100625997686220048e+00,1.981194502909440658e+00,1.396443598253254911e-02,3.103421209562664984e+01
1.999285714285714333e+00,1.121997376282068970e+00,2.031318661166134465e+00,1.474505950767808840e-02,3.004927522185277056e+01
1.999285714285714333e+00,1.143368754877918114e+00,2.026790543310537096e+00,1.318385593246284779e-02,3.127833662258329639e+01
1.999285714285714333e+00,1.164740133473766814e+00,1.997635348536194400e+00,7.271270404310048799e-03,4.487324692669612602e+01
1.999285714285714333e+00,1.186111512069615959e+00,1.988967459034497232e+00,6.017854917454931035e-03,7.784039865523367041e+01
1.999285714285714333e+00,1.207482890665464659e+00,1.916315620470785674e+01,7.868009914946088035e-01,2.084930659737692906e+02
1.999285714285714333e+00,1.228854269261313803e+00,5.948042630389100083e+00,9.992718956098393113e-01,1.517678490735069943e+02
1.999285714285714333e+00,1.250225647857162503e+00,7.560938117085665766e+00,4.528037767069911790e-02,4.670322115852521705e+01
1.999285714285714333e+00,1.271597026453011647e+00,5.742431135564679323e+00,3.884963432469422384e-02,1.036009004865735363e+02
1.999285714285714333e+00,1.292968405048860348e+00,1.000000000000000000e+01,1.133069373407052938e+00,2.065685891830998244e+01
1.999285714285714333e+00,1.314339783644709492e+00,1.061624089635848200e+01,4.810175233457011923e-02,1.205003027639572366e+02
1.999285714285714333e+00,1.335711162240558414e+00,6.803790800723360732e+00,1.926078100516182348e-02,1.004934586312993332e+02
1.999285714285714333e+00,1.357082540836407336e+00,1.000000000000000000e+01,3.996687951362366320e+00,2.347362185295131667e+02
1.999285714285714333e+00,1.378453919432256258e+00,1.000000000000000000e+01,5.075315835164819767e+00,2.281595481292197860e+02
1.999285714285714333e+00,1.399825298028105180e+00,1.000000000000000000e+01,3.782450691913812335e+00,1.448772625794570104e+02
1.999285714285714333e+00,1.421196676623954103e+00,7.091523114605100986e+00,1.452107714468045888e-02,3.982557049214290856e+01
1.999285714285714333e+00,1.442568055219803025e+00,1.496214788003829099e+01,4.760448556195848863e-02,2.782090787521511288e+01
1.999285714285714333e+00,1.463939433815652169e+00,5.532836091469322071e+01,7.439631610437611453e-01,2.918008563394137695e+02
1.999285714285714333e+00,1.485310812411500869e+00,1.190790072808519717e+01,4.596021129109060382e-02,7.546325241392966632e+01
1.999285714285714333e+00,1.506682191007350013e+00,4.658980221180287096e+00,3.050722016495490893e-02,1.076119585426287131e+02
1.999285714285714333e+00,1.528053569603198714e+00,9.703190705701640439e+00,3.680515055627889276e-02,1.072725428678491255e+02
1.999285714285714333e+00,1.549424948199047858e+00,6.223086090829964334e+00,3.782303860028876641e-02,7.951049921977867996e+01
1.999285714285714333e+00,1.570796326794896558e+00,8.204219571702489944e+00,3.589895050280913352e-02,6.872683304419246042e+01
2.003571428571428559e+00,5.235987755982988157e-01,1.000000000000000000e+01,9.745916381592164557e-01,1.407934025424733022e+02
2.003571428571428559e+00,5.449701541941477378e-01,1.000000000000000000e+01,1.310352801239616394e+00,1.316854795088901255e+02
2.003571428571428559e+00,5.663415327899966600e-01,1.000000000000000000e+01,8.029507610015499495e+02,2.558152082712232982e+02
2.003571428571428559e+00,5.877129113858455822e-01,1.000000000000000000e+01,7.998282149323479029e-01,1.463592024778704968e+02
2.003571428571428559e+00,6.090842899816946154e-01,1.000000000000000000e+01,8.938855424237082126e-01,2.000293112011089249e+02
2.003571428571428559e+00,6.304556685775435376e-01,1.000000000000000000e+01,1.373808155000916464e+00,9.714073207050805081e+01
2.003571428571428559e+00,6.518270471733924598e-01,1.000000000000000000e+01,2.886328772124583608e+00,1.199342009248215248e+02
2.003571428571428559e+00,6.731984257692413820e-01,1.000000000000000000e+01,2.898236343554336969e+01,3.049064011177580724e+01
2.003571428571428559e+00,6.945698043650903042e-01,1.000000000000000000e+01,7.966579965158802068e-01,1.186360582573632882e+02
2.003571428571428559e+00,7.159411829609392264e-01,1.000000000000000000e+01,1.689237974541650544e+01,2.195430014399018859e+01
2.003571428571428559e+00,7.373125615567881486e-01,8.930980494177296336e+00,4.056220989266761529e-02,1.061932644626548239e+02
2.003571428571428559e+00,7.586839401526370708e-01,1.000000000000000000e+01,3.689557304050095521e+00,1.679527618458635629e+02
2.003571428571428559e+00,7.800553187484859929e-01,4.277094471979959067e+00,4.179174188582422678e-02,8.702496220764881230e+01
2.003571428571428559e+00,8.014266973443349151e-01,2.233640087354896497e+00,2.323292561793064218e-02,1.077782553093108788e+02
2.003571428571428559e+00,8.227980759401839483e-01,1.000000000000000000e+01,1.775814406694757652e+00,9.785345353445426042e+01
2.003571428571428559e+00,8.441694545360328705e-01,5.335104917750642883e+00,3.057353443583103042e-02,1.146660321816991654e+02
2.003571428571428559e+00,8.655408331318817927e-01,4.560338528559938709e+01,9.951076705633034036e-01,2.358504549399567622e+02
2.003571428571428559e+00,8.869122117277307149e-01,2.917589971798675297e+00,4.743167157470676992e-02,2.588630219748440808e+01
2.003571428571428559e+00,9.082835903235796371e-01,3.945327148957628260e+00,2.975643372720188778e-02,6.608033196241592577e+01
2.003571428571428559e+00,9.296549689194286703e-01,1.000000000000000000e+01,4.870707024847374278e+00,1.597375670719575851e+02
2.003571428571428559e+00,9.510263475152775925e-01,1.000000000000000000e+01,1.000022193763357770e+00,2.198198253745668751e+02
2.003571428571428559e+00,9.723977261111265147e-01,2.034865517512707722e+00,1.107729410588844873e-02,6.577846902497371673e+01
2.003571428571428559e+00,9.937691047069754369e-01,1.969598025030842026e+00,5.800496823629118504e-03,1.054423170095868301e+02
2.003571428571428559e+00,1.015140483302824359e+00,1.863120420281252354e+00,6.304164964177850529e-03,7.182098282550840906e+01
2.003571428571428559e+00,1.036511861898673281e+00,1.979119154334969322e+00,7.673439381507067038e-03,3.237147509312529792e+01
2.003571428571428559e+00,1.057883240494522203e+00,1.997473342512928740e+00,4.410327963856067353e-03,4.696979007537277084e+01
2.003571428571428559e+00,1.079254619090371126e+00,2.004780091901440020e+00,3.628332835946980646e-03,7.086898342939686302e+01
2.003571428571428559e+00,1.100625997686220048e+00,2.027791192738728210e+00,3.767441391701946331e-03,8.531529003525065491e+01
2.003571428571428559e+00,1.121997376282068970e+00,2.030799581104309581e+00,5.501998000206159874e-03,9.035176578782512991e+01
2.003571428571428559e+00,1.143368754877918114e+00,1.845652090364074738e+00,5.673634071806249630e-03,9.023589742188792684e+01
2.003571428571428559e+00,1.164740133473766814e+00,2.015898343988383079e+00,4.404141675344650300e-03,8.447865845570180454e+01
2.003571428571428559e+00,1.186111512069615959e+00,1.954728794241026524e+00,4.589995294632771665e-03,6.986646253756043734e+01
2.003571428571428559e+00,1.207482890665464659e+00,1.997733441469982330e+00,4.559263556128681331e-03,4.826904817818607540e+01
2.003571428571428559e+00,1.228854269261313803e+00,1.894518173227750291e+00,7.410837655401892460e-03,3.152446415550283021e+01
2.003571428571428559e+00,1.250225647857162503e+00,2.002908887561773987e+00,7.891713861486161774e-03,6.175587339059821090e+01
2.003571428571428559e+00,1.271597026453011647e+00,2.017995257792163155e+00,6.672632293277909292e-03,9.928702468511164625e+01
2.003571428571428559e+00,1.292968405048860348e+00,2.015646332075847091e+00,7.584182631737992723e-03,1.035609607964434673e+02
2.003571428571428559e+00,1.314339783644709492e+00,2.028480307425564177e+00,1.054310136522497443e-02,4.141537525748180570e+01
2.003571428571428559e+00,1.335711162240558414e+00,7.613651395806838806e+00,4.658960353159051493e-02,9.714859416272592796e+01
2.003571428571428559e+00,1.357082540836407336e+00,7.254721941244672401e+00,1.091782415212884383e-02,1.078465237284488722e+02
2.003571428571428559e+00,1.378453919432256258e+00,3.946687246726204190e+00,2.516839444489180413e-02,1.073218966093593707e+02
2.003571428571428559e+00,1.399825298028105180e+00,8.588833631343678832e+00,9.992594474097297175e-01,2.201758655792705497e+02
2.003571428571428559e+00,1.421196676623954103e+00,6.296719889852902874e+00,2.848030803570386627e-02,3.877111897185786660e+01
2.003571428571428559e+00,1.442568055219803025e+00,3.403731684215800524e+00,4.369255637075535742e-02,1.084713032668962853e+02
2.003571428571428559e+00,1.463939433815652169e+00,4.803261864368780998e+00,3.358173095123759971e-02,6.225828996642169244e+01
2.003571428571428559e+00,1.485310812411500869e+00,2.524295886765948183e+00,1.719067320788923367e-02,8.630789579755143848e+01
2.003571428571428559e+00,1.506682191007350013e+00,8.626460630715911293e+00,3.124643854818729208e-02,3.866948690044924319e+01
