a3,f3,megno3,final_e3,final_theta3
1.995000000000000107e+00,5.235987755982988157e-01,1.000000000000000000e+01,1.532463270475375872e+01,1.504938438596108199e+02
1.995000000000000107e+00,5.449701541941477378e-01,1.000000000000000000e+01,1.215453311646544465e+00,1.686235861466952599e+02
1.995000000000000107e+00,5.663415327899966600e-01,1.000000000000000000e+01,4.355575575537018018e+00,1.681635909182648447e+02
1.995000000000000107e+00,5.877129113858455822e-01,1.000000000000000000e+01,9.198245104833866481e-01,1.528247387662568713e+02
1.995000000000000107e+00,6.090842899816946154e-01,1.000000000000000000e+01,1.197179440483463475e+00,1.267862071178360850e+02
1.995000000000000107e+00,6.304556685775435376e-01,1.000000000000000000e+01,1.396956637176790750e+00,5.499195593123491932e+01
1.995000000000000107e+00,6.518270471733924598e-01,1.000000000000000000e+01,7.609710921891069013e+00,1.193099604087257859e+02
1.995000000000000107e+00,6.731984257692413820e-01,1.000000000000000000e+01,2.643576423764410599e+00,2.044960516373101314e+02
1.995000000000000107e+00,6.945698043650903042e-01,1.000000000000000000e+01,8.365307406907661614e-01,1.226755189525108278e+02
1.995000000000000107e+00,7.159411829609392264e-01,1.000000000000000000e+01,2.597891265584960419e+00,9.219864068791274292e+01
1.995000000000000107e+00,7.373125615567881486e-01,1.000000000000000000e+01,6.608399709697995377e+02,1.742317180364213414e+02
1.995000000000000107e+00,7.586839401526370708e-01,1.000000000000000000e+01,1.489238673950949776e+00,3.072971727164044751e+02
1.995000000000000107e+00,7.800553187484859929e-01,1.357887603744767446e+01,7.185054102466070791e-02,9.639535811109644214e+01
1.995000000000000107e+00,8.014266973443349151e-01,1.000000000000000000e+01,1.047087532604371818e+00,1.512042734863935607e+02
1.995000000000000107e+00,8.227980759401839483e-01,1.000000000000000000e+01,2.124032114362555035e+01,2.144395002632614933e+02
1.995000000000000107e+00,8.441694545360328705e-01,3.129718084328275918e+00,4.875636000490789906e-02,3.154399143462071464e+01
