a,f,integration_time,megno,final_e,final_theta
1.995000000000000107e+00,5.235987755982988157e-01,1.000000000000000000e+03,3.709006892553756529e+01,4.272587507473156188e-01,1.735524153886885586e+02
1.995000000000000107e+00,5.449701541941477378e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.990847738325298044e+00,7.042632772180003542e+01
1.995000000000000107e+00,5.663415327899966600e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.550839393712305725e+00,1.858797322579909306e+01
1.995000000000000107e+00,5.877129113858455822e-01,1.000000000000000000e+03,1.000000000000000000e+01,7.864289035605873668e-01,2.944056387296650001e+01
1.995000000000000107e+00,6.090842899816946154e-01,1.000000000000000000e+03,1.000000000000000000e+01,9.986817305959465596e-01,9.257070341456555695e+01
1.995000000000000107e+00,6.304556685775435376e-01,1.000000000000000000e+03,9.022135376439943855e+01,7.694995754052557091e-01,1.879366361384283834e+01
1.995000000000000107e+00,6.518270471733924598e-01,1.000000000000000000e+03,1.000000000000000000e+01,6.762915953239203581e+00,1.501280347908094370e+01
1.995000000000000107e+00,6.731984257692413820e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.828500429812577321e+00,2.214258749200811849e+01
1.995000000000000107e+00,6.945698043650903042e-01,1.000000000000000000e+03,1.000000000000000000e+01,8.589861957359284927e-01,2.704675837022974605e+01
1.995000000000000107e+00,7.159411829609392264e-01,1.000000000000000000e+03,2.476895992134306823e+01,1.312359696288404286e-02,9.305482033456176794e+01
1.995000000000000107e+00,7.373125615567881486e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.102230433421113265e+00,1.185631435491616870e+01
1.995000000000000107e+00,7.586839401526370708e-01,1.000000000000000000e+03,2.240231203274513305e+01,8.729677475228276862e-01,2.684264275089310914e+01
1.995000000000000107e+00,7.800553187484859929e-01,1.000000000000000000e+03,3.431092400561394307e+00,5.087018605607675908e-02,1.010690230270653984e+02
1.995000000000000107e+00,8.014266973443349151e-01,1.000000000000000000e+03,2.380954078129046803e+00,3.491049446983030685e-02,3.865883853325573938e+01
1.995000000000000107e+00,8.227980759401839483e-01,1.000000000000000000e+03,2.349719822228313326e+00,4.064096251803495791e-02,8.873660106606207876e+01
1.995000000000000107e+00,8.441694545360328705e-01,1.000000000000000000e+03,3.219002399505079381e+00,3.995750974149068352e-02,1.045377663472659719e+02
1.995000000000000107e+00,8.655408331318817927e-01,1.000000000000000000e+03,2.286041382210390882e+00,2.298279186646213015e-02,5.512699991184970827e+01
1.995000000000000107e+00,8.869122117277307149e-01,1.000000000000000000e+03,4.472923307756365929e+00,6.391693029309022944e-02,9.160081893650493612e+01
1.995000000000000107e+00,9.082835903235796371e-01,1.000000000000000000e+03,6.422312445758561417e+00,6.725314617494353164e-02,7.877387492431998339e+01
1.995000000000000107e+00,9.296549689194286703e-01,1.000000000000000000e+03,2.077846229463807148e+00,6.102914541461228887e-02,1.060598551108811165e+02
1.995000000000000107e+00,9.510263475152775925e-01,1.000000000000000000e+03,2.337887754233261450e+00,2.120178811905022373e-02,1.078670613629361128e+02
1.995000000000000107e+00,9.723977261111265147e-01,1.000000000000000000e+03,2.046932816978033198e+00,6.098326180594643153e-02,1.036014480599929897e+02
1.995000000000000107e+00,9.937691047069754369e-01,1.000000000000000000e+03,2.032266458215041816e+00,1.897257133492431802e-02,6.808616905857333279e+01
