a1,f1,megno1,final_e1,final_theta1
9.879999999999999893e-01,5.235987755982988157e-01,1.000000000000000000e+01,9.552859292447727357e-01,1.334441760676909325e+02
9.879999999999999893e-01,5.449701541941477378e-01,1.000000000000000000e+01,3.678724234969995344e+00,1.619457972250794455e+02
9.879999999999999893e-01,5.663415327899966600e-01,1.000000000000000000e+01,4.521363862969275615e+00,2.075670116652312629e+02
9.879999999999999893e-01,5.877129113858455822e-01,1.000000000000000000e+01,1.522835040273579077e+00,6.700043018900684899e+01
9.879999999999999893e-01,6.090842899816946154e-01,-5.654197054866690451e+02,9.991013948867568661e-01,2.821359273165569448e+01
9.879999999999999893e-01,6.304556685775435376e-01,1.000000000000000000e+01,9.271169980658490184e-01,1.581511186938860192e+02
9.879999999999999893e-01,6.518270471733924598e-01,1.000000000000000000e+01,3.089736965836690441e+00,6.692590196363553900e+01
9.879999999999999893e-01,6.731984257692413820e-01,1.000000000000000000e+01,9.994412135342642944e-01,1.356503128330035395e+02
9.879999999999999893e-01,6.945698043650903042e-01,1.000000000000000000e+01,1.015455521108737491e+00,8.076798106647063946e+01
9.879999999999999893e-01,7.159411829609392264e-01,1.000000000000000000e+01,1.060557743950014009e+00,6.997737499582416376e+01
9.879999999999999893e-01,7.373125615567881486e-01,1.000000000000000000e+01,9.888788121902987172e-01,1.296839485276296955e+02
9.879999999999999893e-01,7.586839401526370708e-01,1.000000000000000000e+01,1.882316109022839523e+00,1.196567126500511193e+02
9.879999999999999893e-01,7.800553187484859929e-01,1.000000000000000000e+01,9.794893162859009683e-01,1.450664819071458282e+02
9.879999999999999893e-01,8.014266973443349151e-01,1.000000000000000000e+01,1.016689282186304721e+00,5.321480915480197638e+00
9.879999999999999893e-01,8.227980759401839483e-01,1.000000000000000000e+01,1.013109198905403519e+00,9.583239692925641151e+00
9.879999999999999893e-01,8.441694545360328705e-01,1.000000000000000000e+01,1.697956023434785022e+00,1.340399876101817256e+02
9.879999999999999893e-01,8.655408331318817927e-01,8.991830325266394652e+01,8.770602090706711707e-01,1.365463747540098893e+02
9.879999999999999893e-01,8.869122117277307149e-01,1.000000000000000000e+01,1.210327576970069874e+00,1.282610158561620324e+02
9.879999999999999893e-01,9.082835903235796371e-01,1.000000000000000000e+01,1.921741777417910413e+00,1.087168582097516776e+02
9.879999999999999893e-01,9.296549689194286703e-01,1.000000000000000000e+01,2.102082219075517067e+00,9.137149028750239665e+01
9.879999999999999893e-01,9.510263475152775925e-01,1.000000000000000000e+01,1.087989040457704171e+00,1.238778635118753186e+02
9.879999999999999893e-01,9.723977261111265147e-01,1.000000000000000000e+01,1.028731540216205831e+00,1.142253546593451432e+02
9.879999999999999893e-01,9.937691047069754369e-01,1.000000000000000000e+01,1.352652502807983410e+02,3.243667760699963054e+01
9.879999999999999893e-01,1.015140483302824359e+00,1.000000000000000000e+01,9.234795315273075289e+01,1.294726093232901576e+02
9.879999999999999893e-01,1.036511861898673281e+00,1.000000000000000000e+01,8.006981290576114816e+02,7.497313715874864215e+01
9.879999999999999893e-01,1.057883240494522203e+00,1.000000000000000000e+01,1.244508446539184243e+00,2.328476512693396216e+02
9.879999999999999893e-01,1.079254619090371126e+00,1.000000000000000000e+01,1.004422317240232010e+00,5.944687395765360804e+01
9.879999999999999893e-01,1.100625997686220048e+00,1.000000000000000000e+01,7.897818963229556566e+00,9.637772704708208948e+01
9.879999999999999893e-01,1.121997376282068970e+00,1.000000000000000000e+01,1.042380423554160496e+00,2.740138819292425865e+02
9.879999999999999893e-01,1.143368754877918114e+00,1.000000000000000000e+01,1.301342536587117820e+03,1.718968102165103460e+02
9.879999999999999893e-01,1.164740133473766814e+00,1.000000000000000000e+01,3.981701863232159440e+02,3.216558221433493827e+02
9.879999999999999893e-01,1.186111512069615959e+00,1.000000000000000000e+01,1.208881755000754454e+00,3.463061860976682027e+01
9.879999999999999893e-01,1.207482890665464659e+00,1.000000000000000000e+01,2.458245639410949224e+01,2.904146419203976848e+01
