loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
1,11 Com b,11 Com,0,2,1,0,Radial Velocity,,1.21,,17.1,,,,,,2.6,,,,,93.1846
2,11 Com b,11 Com,0,2,1,0,Radial Velocity,326.03,1.29,,19.4,0.231,,G8 III,4742,19,2.7,-0.35,[Fe/H],2.243,,93.1846
3,11 Com b,11 Com,1,2,1,0,Radial Velocity,323.21,1.178,,15.464,0.238,,G8 III,4874,13.76,2.09,-0.26,[Fe/H],1.978,,93.1846
4,11 UMi b,11 UMi,1,1,1,0,Radial Velocity,516.21997,1.53,,14.74,0.08,,,4213,29.79,2.78,-0.02,[Fe/H],,,125.321
5,11 UMi b,11 UMi,0,1,1,0,Radial Velocity,,1.51,,10.8,,,,,,1.7,,,,,125.321
6,11 UMi b,11 UMi,0,1,1,0,Radial Velocity,516.22,1.54,,10.5,0.08,,K4 III,4340,24.08,1.8,0.04,[Fe/H],,1.56,125.321
7,14 And b,14 And,1,1,1,0,Radial Velocity,186.76,0.775,,3.559,0,,K0 III,4888,11.55,1.78,-0.21,[Fe/H],1.84,,75.4392
8,14 And b,14 And,0,1,1,0,Radial Velocity,,0.68,,3.2,,,,,,1.2,,,,,75.4392
9,14 And b,14 And,0,1,1,0,Radial Velocity,185.84,0.83,,4.8,0,,K0 III,4813,11,2.2,-0.24,[Fe/H],1.763,,75.4392
10,14 Her b,14 Her,0,1,2,0,Radial Velocity,1773.4,2.77,,4.64,0.369,,K0 V,,,,,,,,17.9323
11,14 Her b,14 Her,0,1,2,0,Radial Velocity,1766,2.864,,4.975,0.359,,,5280,1,0.91,0.4,[M/H],-0.153,,17.9323
12,14 Her b,14 Her,1,1,2,0,Radial Velocity,1765.0389,2.774,,8.053,0.373,144.652,,,,0.91,,,,,17.9323
13,14 Her b,14 Her,0,1,2,0,Radial Velocity,1773.40002,2.93,,4.66,0.37,,,5338,0.93,0.9,0.41,[Fe/H],,,17.9323
14,14 Her b,14 Her,0,1,2,0,Radial Velocity,1796.4,2.8,,4.74,0.338,,,5255,,0.9,0.51,[Fe/H],-0.15,3.9,17.9323
15,14 Her b,14 Her,0,1,2,0,Radial Velocity,1766.41,2.83,,4.85,0.3674,,,5314.94,1,0.97,0.405,[Fe/H],,,17.9323
16,14 Her b,14 Her,0,1,2,0,Radial Velocity,1724,2.82,,4.89,0.37,,K0 V,,,1,0.35,[Fe/H],,,17.9323
17,14 Her b,14 Her,0,1,2,0,Radial Velocity,,2.73,,4.533,0.357,,,,,0.9,,,,,17.9323
18,16 Cyg B b,16 Cyg B,0,3,1,0,Radial Velocity,799.45,1.676,,1.752,0.6832,,,5711.97,1.16,0.98,0.074,[Fe/H],,,21.1397
19,16 Cyg B b,16 Cyg B,0,3,1,0,Radial Velocity,798.5,1.681,,1.68,0.681,,,5674,,0.99,0.038,[Fe/H],,,21.1397
20,16 Cyg B b,16 Cyg B,0,3,1,0,Radial Velocity,800.8,1.6,,1.5,0.634,,G2.5 V,5760,,1,0.05,[Fe/H],,,21.1397
21,16 Cyg B b,16 Cyg B,0,3,1,0,Radial Velocity,799.5,1.68,,1.68,0.689,,,5747,1.13,1.03,0.06,[M/H],0.097,,21.1397
22,16 Cyg B b,16 Cyg B,0,3,1,0,Radial Velocity,799.5,1.68,,1.68,0.689,,G3 V,,,,,,,,21.1397
23,16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,798.5,1.66,,1.78,0.68,,,5750,1.13,1.08,0.06,[Fe/H],,,21.1397
