loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
3,11 Com b,11 Com,1,2,1,0,Radial Velocity,323.21,1.178,,15.464,0.238,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],1.978,,93.1846,0.014761934400000001
4,11 UMi b,11 UMi,1,1,1,0,Radial Velocity,516.21997,1.53,,14.74,0.08,,,4213.0,29.79,2.78,-0.02,[Fe/H],,,125.321,0.014070804000000001
7,14 And b,14 And,1,1,1,0,Radial Velocity,186.76,0.775,,3.559,0.0,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],1.84,,75.4392,0.0033974214
12,14 Her b,14 Her,1,1,2,0,Radial Velocity,1765.0389,2.774,,8.053,0.373,144.652,,,,0.91,,,,,17.9323,0.007687393800000001
23,16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,798.5,1.66,,1.78,0.68,,,5750.0,1.13,1.08,0.06,[Fe/H],,,21.1397,0.0016991880000000001
24,17 Sco b,17 Sco,1,1,1,0,Radial Velocity,578.38,1.45,,4.32,0.06,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],2.254,5.13,124.953,0.004123872000000001
26,18 Del b,18 Del,1,2,1,0,Radial Velocity,982.85,2.476,,9.207,0.024,,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],1.634,,76.222,0.008789002200000002
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,Imaging,,330.0,,8.0,,,K7 V,4060.0,,0.85,,,-0.37,0.005,139.135,0.0076368
33,24 Boo b,24 Boo,1,1,1,0,Radial Velocity,30.33,0.194,,0.883,0.032,,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],1.877,,95.9863,0.0008429118
34,24 Sex b,24 Sex,1,1,2,0,Radial Velocity,452.8,1.333,,1.99,0.09,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,2.7,72.0691,0.001899654
35,24 Sex c,24 Sex,1,1,2,0,Radial Velocity,883.0,2.08,,0.86,0.29,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,2.7,72.0691,0.000820956
36,2M0437 b,2MASS J04372171+2651014,1,1,1,0,Imaging,,118.0,,4.0,,,M V,3100.0,0.84,0.17,0.01,[Fe/H],-1.164,0.003,128.484,0.0038184
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,Imaging,,84.0,,13.0,,,M5.5/M6,,,0.19,,,,0.03,,0.0124098
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,Imaging,,52.0,,24.5,,,M3.5 V,3530.0,,0.4,,,-1.72,0.12,33.8281,0.0233877
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,Imaging,,156.0,1.44,13.9,,,M6,3064.0,0.28,0.11,,,-2.23,0.035,,0.01326894
41,2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,0,Imaging,,1950.0,,11.6,,,M6 V,,,0.05,,,-2.59,0.022,66.0613,0.011073359999999999
42,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,0,Imaging,,572.0,,18.0,,,,,,,,,,,117.435,0.0171828
43,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,Imaging,,15.0,,7.5,,,M8.5,,,0.02,,,,0.001,,0.0071595
44,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,0,Imaging,,266.0,,28.0,,,,,,,,,,,,0.0267288
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,0,Imaging,,587.0,,20.0,,,,,,,,,,,100.862,0.019092
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,Imaging,,55.0,,5.0,,,M8,,,0.02,,,,0.008,64.308,0.004773
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,0,Eclipse Timing Variations,406.0,,,1.86,0.33,,,29564.0,0.2,0.48,,,,,396.332,0.0017755560000000002
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,0,Imaging,,7493.0,,12.0,,,,,,,,,,,34.1154,0.0114552
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,0,Imaging,,230.0,,12.5,,,K7 V,4045.0,,0.6,,,,0.12,69.5737,0.0119325
54,30 Ari B b,30 Ari B,1,4,1,0,Radial Velocity,335.10001,0.99,,13.82,0.29,,,6331.0,1.41,1.93,0.19,[Fe/H],,,44.657,0.013192572
55,4 UMa b,4 UMa,1,1,1,0,Radial Velocity,270.27,0.877,,7.902,0.453,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],,4.604,73.4603,0.0075432492
57,42 Dra b,42 Dra,1,2,1,0,Radial Velocity,479.1,1.19,,3.88,0.38,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],,9.49,90.6545,0.003703848
59,47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1078.0,2.1,,2.53,0.032,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.002415138
63,47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2391.0,3.6,,0.54,0.098,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.0005154840000000001
66,47 UMa d,47 UMa,1,1,3,0,Radial Velocity,14002.0,11.6,,1.64,0.16,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.0015655439999999999
70,51 Eri b,51 Eri,1,3,1,0,Imaging,,13.2,,2.0,,,F0 IV,,,1.75,-0.027,[M/H],0.85,0.02,29.7575,0.0019092
75,51 Peg b,51 Peg,1,1,1,0,Radial Velocity,4.230785,0.0527,,0.472,0.013,,,5758.0,1.18,1.03,0.18,[M/H],0.136,,15.4614,0.0004505712
83,55 Cnc b,55 Cnc,1,2,5,0,Radial Velocity,14.6516,0.1134,,0.8036,0.0,,,5172.0,0.94,0.91,0.35,[Fe/H],,,12.5855,0.00076711656
88,55 Cnc c,55 Cnc,1,2,5,0,Radial Velocity,44.3989,0.2373,,0.1611,0.03,,,5172.0,0.94,0.91,0.35,[Fe/H],,,12.5855,0.00015378606
