loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun),Inner HZ,Outer HZ,In HZ
59,47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1078,2.1,,2.53,0.032,,,5872,1.21,1.06,0.04,[M/H],1.568225844,,13.7967,0.002415138,0.939871384,2.2210536,TRUE
63,47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2391,3.6,,0.54,0.098,,,5872,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.000515484,,,
66,47 UMa d,47 UMa,1,1,3,0,Radial Velocity,14002,11.6,,1.64,0.16,,,5872,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.001565544,,,
1891,HD 108874 b,HD 108874,1,1,2,0,Radial Velocity,394.48123,1.04,,1.42,0.13,,,5600,1.05,1.1,0.26,[Fe/H],0.976842136,,59.5175,0.001355532,0.741782043,1.752939504,TRUE
1899,HD 108874 c,HD 108874,1,1,2,0,Radial Velocity,1624,2.659,,0.99,0.239,,G5,5551,,0.95,0.19,[Fe/H],,,59.5175,0.000945054,,,
2143,HD 13908 b,HD 13908,1,1,2,0,Radial Velocity,19.382,0.154,,0.865,0.02,,F8 V,6255,1.67,1.29,0.01,[Fe/H],0.602,2.9,79.5515,0.000825729,,,
2144,HD 13908 c,HD 13908,1,1,2,0,Radial Velocity,931,2.03,,5.13,0.12,,F8 V,6255,1.67,1.29,0.01,[Fe/H],3.846235542,2.9,79.5515,0.004897098,1.471912732,3.478345153,TRUE
2334,HD 159868 b,HD 159868,1,1,2,0,Radial Velocity,1184.1,2.32,,2.218,0.024,,,5534,2.13,1.19,,,3.833623905,,55.8503,0.002117303,1.469497582,3.4726378,TRUE
2338,HD 159868 c,HD 159868,1,1,2,0,Radial Velocity,351,1.032,,0.768,0.184,,,5534,2.13,1.19,,,,,55.8503,0.000733133,,,
2341,HD 1605 b,HD 1605,1,1,2,0,Radial Velocity,577.2,1.492,,0.934,0.095,,K1 IV,4915,3.49,1.33,0.22,[Fe/H],0.81,4.36,88.8047,0.000891596,,,
2343,HD 1605 c,HD 1605,1,1,2,0,Radial Velocity,2149,3.584,,3.62,0.099,,K1 IV,4915,3.49,1.33,0.22,[Fe/H],6.403812697,4.36,88.8047,0.003455652,1.89925568,4.488219068,TRUE
2372,HD 163607 b,HD 163607,1,1,2,0,Radial Velocity,75.2203,0.362,,0.7836,0.7441,,,5522,1.76,1.12,,,,,67.7855,0.000748025,,,
2375,HD 163607 c,HD 163607,1,1,2,0,Radial Velocity,1272,2.39,,2.201,0.08,,,5522,1.76,1.12,,,2.594804385,,67.7855,0.002101075,1.208972536,2.856978997,TRUE
3285,HD 45364 b,HD 45364,1,1,2,0,Radial Velocity,225.79,0.6793,,0.1893,0.067,,K0 V,5466,0.89,0.82,,,-0.196,,34.354,0.000180706,,,
3286,HD 45364 c,HD 45364,1,1,2,0,Radial Velocity,345.43,0.902,,0.549,0.019,,K0 V,5466,0.89,0.82,,,0.637018729,,34.354,0.000524075,0.599018484,1.415568326,TRUE
3589,HD 82943 b,HD 82943,1,1,2,0,Radial Velocity,441.47,1.18306,,1.681,0.162,90,,5935,1.18,1.08,0.26,[M/H],1.556469397,,27.5902,0.001604683,0.936341811,2.212712703,TRUE
3597,HD 82943 c,HD 82943,1,1,2,0,Radial Velocity,220.078,0.74345,,1.959,0.3663,90,,5935,1.18,1.08,0.26,[M/H],0.194,,27.5902,0.001870061,,,
5765,KELT-6 b,KELT-6,1,1,2,0,Transit,7.8457,,1.3,0.52,0.22,88.81,,6102,1.73,1.42,-0.28,[Fe/H],,,240.726,0.000496392,,,
5772,KELT-6 c,KELT-6,1,1,2,0,Radial Velocity,1276,2.39,,3.71,0.21,,,6272,1.53,1.13,-0.27,[Fe/H],3.263628663,4.9,240.726,0.003541566,1.355858889,3.204092943,TRUE
25118,Kepler-419 b,Kepler-419,1,1,2,0,Transit,69.7546,0.37,0.96,2.5,0.833,88.95,,6430,1.74,1.39,0.176,[Fe/H],,,1011.36,0.0023865,,,
25120,Kepler-419 c,Kepler-419,1,1,2,0,Transit Timing Variations,675.47,1.68,,7.3,0.184,88,,6430,1.74,1.39,0.176,[Fe/H],4.662684893,,1011.36,0.00696858,1.620623592,3.829770675,TRUE
33943,TOI-1669 b,TOI-1669,1,1,2,0,Radial Velocity,500,1.27,,0.60095,0,,,5497,1.06,0.99,0.274,[Fe/H],0.924290218,7.7,111.276,0.000573667,0.721553108,1.705135571,TRUE
33945,TOI-1669 c,TOI-1669,1,1,2,0,Transit,2.6800535,0.0376,0.205,0.0409,0,,,5497,1.06,0.99,0.274,[Fe/H],-0.036,7.7,111.276,3.90E-05,,,
34492,TOI-4600 b,TOI-4600,1,1,2,0,Transit,82.6869,0.349,0.607,3.02,0.25,89.76,K V,5170,0.81,0.89,0.16,[Fe/H],-0.377,2.3,216.056,0.002882892,,,
34495,TOI-4600 c,TOI-4600,1,1,2,0,Transit,482.8191,1.152,0.841,9.27,0.21,89.9,K V,5170,0.81,0.89,0.16,[Fe/H],0.422304674,2.3,216.056,0.008849142,0.487727303,1.152570979,TRUE
