loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun),Inner HZ,Outer HZ,In HZ
59,47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1078.0,2.1,,2.53,0.032,,,5872.0,1.21,1.06,0.04,[M/H],1.5682258438064338,,13.7967,0.002415138,0.9398713835716983,2.221053599858825,True
1891,HD 108874 b,HD 108874,1,1,2,0,Radial Velocity,394.48123,1.04,,1.42,0.13,,,5600.0,1.05,1.1,0.26,[Fe/H],0.9768421357814427,,59.5175,0.001355532,0.7417820429291974,1.7529395038048248,True
2144,HD 13908 c,HD 13908,1,1,2,0,Radial Velocity,931.0,2.03,,5.13,0.12,,F8 V,6255.0,1.67,1.29,0.01,[Fe/H],3.8462355420073657,2.9,79.5515,0.004897098,1.4719127316217318,3.478345152740882,True
2334,HD 159868 b,HD 159868,1,1,2,0,Radial Velocity,1184.1,2.32,,2.218,0.024,,,5534.0,2.13,1.19,,,3.8336239046129923,,55.8503,0.0021173028,1.4694975816072164,3.472637799875692,True
2343,HD 1605 c,HD 1605,1,1,2,0,Radial Velocity,2149.0,3.584,,3.62,0.099,,K1 IV,4915.0,3.49,1.33,0.22,[Fe/H],6.4038126973997835,4.36,88.8047,0.003455652,1.8992556801166478,4.488219068171686,True
2375,HD 163607 c,HD 163607,1,1,2,0,Radial Velocity,1272.0,2.39,,2.201,0.08,,,5522.0,1.76,1.12,,,2.5948043849700353,,67.7855,0.0021010746,1.2089725356198469,2.8569789965991355,True
3286,HD 45364 c,HD 45364,1,1,2,0,Radial Velocity,345.43,0.902,,0.549,0.019,,K0 V,5466.0,0.89,0.82,,,0.6370187287452473,,34.354,0.0005240754000000001,0.5990184844202183,1.4155683261123668,True
3589,HD 82943 b,HD 82943,1,1,2,0,Radial Velocity,441.47,1.18306,,1.681,0.162,90.0,,5935.0,1.18,1.08,0.26,[M/H],1.556469397070665,,27.5902,0.0016046826,0.9363418107900658,2.212712702934378,True
5772,KELT-6 c,KELT-6,1,1,2,0,Radial Velocity,1276.0,2.39,,3.71,0.21,,,6272.0,1.53,1.13,-0.27,[Fe/H],3.263628662884508,4.9,240.726,0.003541566,1.355858889347704,3.2040929426346105,True
25120,Kepler-419 c,Kepler-419,1,1,2,0,Transit Timing Variations,675.47,1.68,,7.3,0.184,88.0,,6430.0,1.74,1.39,0.176,[Fe/H],4.662684893290479,,1011.36,0.00696858,1.6206235918629694,3.8297706746263533,True
33943,TOI-1669 b,TOI-1669,1,1,2,0,Radial Velocity,500.0,1.27,,0.60095,0.0,,,5497.0,1.06,0.99,0.274,[Fe/H],0.9242902178184385,7.7,111.276,0.00057366687,0.7215531082137918,1.7051355712069203,True
34495,TOI-4600 c,TOI-4600,1,1,2,0,Transit,482.8191,1.152,0.841,9.27,0.21,89.9,K V,5170.0,0.81,0.89,0.16,[Fe/H],0.42230467430510804,2.3,216.056,0.008849141999999999,0.48772730254715374,1.1525709793984302,True
