loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
34,24 Sex b,24 Sex,1,1,2,0,Radial Velocity,452.8,1.333,,1.99,0.09,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,2.7,72.0691,0.001899654
59,47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1078.0,2.1,,2.53,0.032,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.002415138
63,47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2391.0,3.6,,0.54,0.098,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.0005154840000000001
66,47 UMa d,47 UMa,1,1,3,0,Radial Velocity,14002.0,11.6,,1.64,0.16,,,5872.0,1.21,1.06,0.04,[M/H],0.198,,13.7967,0.0015655439999999999
142,7 CMa b,7 CMa,1,1,2,0,Radial Velocity,735.1,1.758,,1.85,0.06,90.0,,4826.0,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101,0.0017660100000000001
144,7 CMa c,7 CMa,1,1,2,0,Radial Velocity,996.0,2.153,,0.87,0.08,90.0,,4826.0,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101,0.000830502
190,BD+20 2457 c,BD+20 2457,1,1,2,0,Radial Velocity,621.99,2.01,,12.47,0.18,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],3.17,,1539.71,0.011903862000000001
207,BD-08 2823 c,BD-08 2823,1,1,2,0,Radial Velocity,237.6,0.68,,0.33,0.19,,K3 V,4746.0,,0.74,-0.07,[Fe/H],,4.5,41.3342,0.000315018
213,BD-11 4672 b,BD-11 4672,1,1,2,0,Radial Velocity,1634.0,2.36,,0.65,0.05,,,4550.0,0.64,0.65,-0.35,[Fe/H],-0.804,7.4,27.1665,0.00062049
223,BD-210397 b,BD-210397,1,1,2,0,Radial Velocity,1891.0,2.63,,0.7,0.1,,K7 V,4051.0,0.75,0.68,0.12,[Fe/H],-0.87,6.2,23.7324,0.00066822
574,GJ 2030 c,GJ 2030,1,1,2,0,Radial Velocity,25533.11353,16.761,,12.803,0.041,16.999,,,,0.96,,,,,37.0788,0.0122217438
597,GJ 317 b,GJ 317,1,1,2,0,Radial Velocity,695.66,1.151,,1.75282,0.07,,,,,0.42,,,,,15.1968,0.001673241972
600,GJ 317 c,GJ 317,1,1,2,0,Radial Velocity,6739.323,5.23,,1.64396,0.17,,,,,0.42,,,,,15.1968,0.001569324216
603,GJ 328 b,GJ 328,1,1,2,0,Radial Velocity,3771.0,4.11,,2.51,0.227,,M0.0,3897.0,0.63,0.65,-0.06,[Fe/H],-1.08,,20.5266,0.0023960459999999998
773,GJ 849 b,GJ 849,1,1,2,0,Radial Velocity,1925.31,2.32,,0.893,0.029,,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],-1.59,,8.80058,0.0008524578
781,GJ 849 c,GJ 849,1,1,2,0,Radial Velocity,5990.0,4.95,,0.99,0.092,,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],-1.59,,8.80058,0.000945054
794,GJ 876 b,GJ 876,1,1,4,0,Radial Velocity,61.1166,0.208317,,2.2756,0.0324,59.0,,,0.3,0.32,,,-1.907,1.0,4.67517,0.0021722877599999997
924,HAT-P-13 b,HAT-P-13,1,1,2,0,Transit,2.91625,,1.272,0.851,0.0133,83.4,,,,,,,,,246.81,0.0008123646
1257,HAT-P-44 b,HAT-P-44,1,1,2,0,Transit,4.301219,0.0507,1.242,0.352,0.044,89.1,,5295.0,0.95,0.94,0.33,[Fe/H],-0.194,7.5,347.85,0.00033601919999999997
1683,HATS-59 b,HATS-59,1,1,2,0,Transit,5.416081,0.06112,1.126,0.806,0.129,88.1,,5670.0,1.04,1.04,0.18,[Fe/H],-0.004,4.3,642.884,0.0007694076
1685,HATS-59 c,HATS-59,1,1,2,0,Radial Velocity,1422.0,2.504,,12.7,0.083,,,5670.0,1.04,1.04,0.18,[Fe/H],-0.004,4.3,642.884,0.01212342
1794,HD 102329 b,HD 102329,1,1,2,0,Radial Velocity,778.09998,1.81,,8.16,0.21,,,4745.0,9.82,3.21,0.05,[Fe/H],,,217.107,0.0077895360000000005
